x,y,u
4.570312e-01,3.906250e-03,1.216005e-02
4.609375e-01,3.906250e-03,1.217940e-02
4.648438e-01,3.906250e-03,1.219692e-02
4.687500e-01,3.906250e-03,1.221260e-02
4.726562e-01,3.906250e-03,1.222644e-02
4.765625e-01,3.906250e-03,1.223844e-02
4.804688e-01,3.906250e-03,1.224860e-02
4.843750e-01,3.906250e-03,1.225691e-02
4.882812e-01,3.906250e-03,1.226338e-02
4.921875e-01,3.906250e-03,1.226800e-02
4.960938e-01,3.906250e-03,1.227077e-02
5.000000e-01,3.906250e-03,1.227169e-02
5.039062e-01,3.906250e-03,1.227077e-02
5.078125e-01,3.906250e-03,1.226800e-02
5.117188e-01,3.906250e-03,1.226338e-02
5.156250e-01,3.906250e-03,1.225691e-02
5.195312e-01,3.906250e-03,1.224860e-02
5.234375e-01,3.906250e-03,1.223844e-02
5.273438e-01,3.906250e-03,1.222644e-02
5.312500e-01,3.906250e-03,1.221260e-02
5.351562e-01,3.906250e-03,1.219692e-02
5.390625e-01,3.906250e-03,1.217940e-02
5.429688e-01,3.906250e-03,1.216005e-02
5.468750e-01,3.906250e-03,1.213887e-02
5.507812e-01,3.906250e-03,1.211586e-02
5.546875e-01,3.906250e-03,1.209102e-02
5.585938e-01,3.906250e-03,1.206437e-02
5.625000e-01,3.906250e-03,1.203590e-02
5.664062e-01,3.906250e-03,1.200561e-02
5.703125e-01,3.906250e-03,1.197352e-02
5.742188e-01,3.906250e-03,1.193962e-02
5.781250e-01,3.906250e-03,1.190392e-02
5.820312e-01,3.906250e-03,1.186644e-02
5.859375e-01,3.906250e-03,1.182716e-02
5.898438e-01,3.906250e-03,1.178611e-02
5.937500e-01,3.906250e-03,1.174328e-02
5.976562e-01,3.906250e-03,1.169868e-02
6.015625e-01,3.906250e-03,1.165232e-02
6.054688e-01,3.906250e-03,1.160420e-02
6.093750e-01,3.906250e-03,1.155434e-02
6.132812e-01,3.906250e-03,1.150274e-02
6.171875e-01,3.906250e-03,1.144940e-02
6.210938e-01,3.906250e-03,1.139434e-02
6.250000e-01,3.906250e-03,1.133757e-02
6.289062e-01,3.906250e-03,1.127908e-02
6.328125e-01,3.906250e-03,1.121890e-02
6.367188e-01,3.906250e-03,1.115703e-02
6.406250e-01,3.906250e-03,1.109348e-02
6.445312e-01,3.906250e-03,1.102826e-02
6.484375e-01,3.906250e-03,1.096137e-02
